@relation Audio-weka.filters.unsupervised.instance.NonSparseToSparse
@attribute 'Volume' real
@attribute 'Number of Extreme Frequencies' real
@attribute 'Spectrul Flux' real
@attribute 'Type' {commercial, noncommercial}

@data
5648602.826728205,1562.0,57935.86024672394,commercial
1.6139173354391344E7,1827.0,114994.12540185751,commercial
2.5895360550286464E7,1645.0,162475.32029634697,commercial
2.3494736347878814E7,1982.0,138598.5728261264,commercial
2.310234862106007E7,1870.0,135777.10360251094,commercial
2.3765501694587298E7,2213.0,164767.76431132483,commercial
1.4934224157992378E7,1671.0,120152.05859748975,commercial
1.9694986319644548E7,1700.0,123407.25034910558,commercial
4.328482459230798E7,2889.0,195070.02812561044,commercial
1312174.2595216637,786.0,40418.94939548105,commercial
2.2471203272968736E7,2072.0,115728.29536265036,commercial
7147188.5029333895,1461.0,79779.50786270796,commercial
2.1771127051260523E7,2147.0,142999.84563788495,commercial
1.752515875102258E7,1657.0,139855.45648397642,commercial
4667940.582881936,1300.0,67975.767808423,commercial
1.3259083647599459E7,1995.0,115554.76893227758,commercial
1.7842470019726336E7,1797.0,100426.13926448228,commercial
1.7619012876714986E7,1696.0,122295.9002918655,commercial
1.666512873499225E7,2255.0,116581.65368753199,commercial
4.844701208871125E7,2619.0,192405.02965780426,commercial
2.1338746725888275E7,2543.0,144368.32673802192,commercial
1.2978696750361284E7,1185.0,96284.77796085321,commercial
5.620145884900399E7,2847.0,177797.6441742118,commercial
272049.1024336817,903.0,19806.161390788922,commercial
2.755579567255147E7,1872.0,128817.77818338803,commercial
1.0152103730355863E7,2043.0,89407.03839663189,commercial
6424977.042593794,1241.0,68373.33890313457,commercial
2.7976135464732442E7,1393.0,137492.83163887908,commercial
8690696.368488794,1084.0,85900.71798361256,commercial
2.533017517257348E7,1770.0,167094.77671148413,commercial
1.6294928943876881E7,1939.0,102949.83848692216,commercial
1.6508865458768563E7,2000.0,106483.06201503097,commercial
5065016.014196931,1402.0,78725.2392187778,commercial
2.8877876647335023E7,2305.0,144942.6226752126,commercial
3.0114623573135063E7,2043.0,132105.58515983893,commercial
1.6466691729979543E7,1538.0,128899.03927634082,commercial
2.34488507526673E7,1359.0,142767.8747141534,commercial
2.2993098013105903E7,2066.0,164043.1205545586,commercial
1.9145624959254842E7,1736.0,131501.0539498514,commercial
1.6197638144067902E7,1844.0,124228.70862779883,commercial
2532266.799153114,1763.0,50464.825411065496,commercial
1038900.8601037154,2447.0,29033.828557689903,commercial
7056174.431584639,1770.0,84734.97446783083,commercial
3351767.540107778,2293.0,73946.14464198997,commercial
5348362.696785373,1500.0,81925.94128424326,commercial
4878908.337118181,1769.0,69788.91824293075,commercial
3862271.7186028725,1386.0,44874.57459666895,commercial
5261008.674019462,2250.0,69181.38552309526,commercial
4251904.619416734,1674.0,76571.61000895563,commercial
3399141.4206469543,1787.0,58509.12819137516,commercial
222573.93015104803,834.0,17923.066445794535,commercial
3020741.0411065714,1097.0,47846.90590113469,commercial
1531719.293323117,2636.0,34515.38890343271,commercial
4575232.618032596,1740.0,59161.5478951935,commercial
1314657.521802942,884.0,44236.73900614709,commercial
3993782.4228901025,1270.0,56488.218830288046,commercial
3438190.5170701556,1476.0,48147.14374431991,commercial
5297955.099472042,1697.0,59354.78713408379,commercial
3620751.9795624698,1167.0,42266.058555173964,commercial
3275763.6849590307,1819.0,57665.090441186956,commercial
2818090.502466974,1329.0,59190.38296925055,commercial
5785894.561692687,1618.0,92457.47857072913,commercial
14961.297647958889,2317.0,3147.32844949462,commercial
5112350.162533082,1759.0,79224.80923994072,commercial
3731836.64557328,1923.0,83634.98560291935,commercial
4455619.059367525,1800.0,71884.04551896278,commercial
1289903.0276592758,2122.0,40135.90330960408,commercial
3372487.66258103,1768.0,70752.9343216568,commercial
2924424.538272323,1913.0,67490.28219556189,commercial
6686289.412450629,2059.0,95091.61845060831,commercial
757341.0119875118,2063.0,33678.953718935794,commercial
1673306.116319736,2646.0,22706.26549673317,commercial
756908.2471766585,2173.0,35616.59559735001,commercial
1045455.2876225917,1888.0,40504.460630774454,commercial
507077.04311485606,1839.0,24957.064174895248,commercial
47101.34411383246,1815.0,6915.006875091796,commercial
2446.62590693815,810.0,1465.5849656591392,commercial
27504.861266575,1237.0,5299.4440563556545,commercial
123883.86147750086,1703.0,6990.511424270574,commercial
923248.1413441943,2002.0,35941.35158729285,commercial
769146.6500499343,2659.0,29921.38204389508,commercial
42002.571159731946,1025.0,8462.637412333179,commercial
334255.08343080455,1756.0,13346.44910759071,commercial
415198.0839139695,1829.0,26344.941503087295,commercial
10430.304354380201,1413.0,2896.296805483337,commercial
1191008.929514487,1986.0,30431.454347266368,commercial
746267.9769633823,1729.0,26764.717186332313,commercial
480894.1001303007,2231.0,26404.27298924538,commercial
661534.8628978275,1748.0,25697.414270820303,commercial
811441.5376441965,1782.0,26087.033745584344,commercial
1107809.784335047,2836.0,44369.607001110126,commercial
195471.5478508249,1674.0,14307.75994449371,commercial
39596.738029196815,2008.0,8599.153791053914,commercial
5092.487055699034,1991.0,1912.1725898111351,commercial
399397.23364473804,1801.0,26455.99818552944,commercial
152702.06536091617,2039.0,16316.408027782589,commercial
4238.551876697852,1901.0,2283.935129828035,commercial
902492.4614808599,2096.0,37555.057987174434,commercial
983611.4047805015,1852.0,21664.865383006236,commercial
471056.08469993866,1918.0,32116.913080835,commercial
984432.2893077469,1736.0,21649.295223502402,noncommercial
166606.84534029034,1962.0,11586.45131455313,noncommercial
371668.33561339235,2126.0,22032.624562055124,noncommercial
259297.83792858318,1692.0,19918.495509754863,noncommercial
520451.21287626505,1143.0,20860.072337280522,noncommercial
6608218.063715922,1634.0,75462.35939115722,noncommercial
7122064.7196309855,2106.0,69102.84259023918,noncommercial
1.1825424967627017E7,2097.0,112021.89235282906,noncommercial
1.1860732185396343E7,1961.0,95224.22157707484,noncommercial
1.2583723324954959E7,2237.0,124600.20329667906,noncommercial
6930751.984204488,2229.0,73602.26504391369,noncommercial
9614213.021369146,1912.0,117244.50671596454,noncommercial
1525000.7504591267,1991.0,25866.12679243346,noncommercial
5853974.3645962,2091.0,72512.88543473947,noncommercial
9531836.518056605,2216.0,88616.74599921083,noncommercial
7262282.064028806,2015.0,66156.8428477082,noncommercial
1.2039826792776532E7,2470.0,94742.65686589206,noncommercial
7134396.482857357,1834.0,72057.8205173798,noncommercial
1.046407051586735E7,1952.0,99292.45125498222,noncommercial
5.754697207308256E7,1759.0,178424.80515847684,noncommercial
2.6589334451713434E8,2450.0,300123.8007330688,noncommercial
2.2055128682062125E8,2238.0,259594.46077271906,noncommercial
2.450952087988946E8,2373.0,268614.67484819714,noncommercial
277738.2467178558,2048.0,13993.137133314855,noncommercial
7.7244530315202E7,2196.0,249418.05071161827,noncommercial
2.719294862460931E8,2467.0,331924.3475960127,noncommercial
2.5144043420553592E8,2935.0,425887.97002598195,noncommercial
4.8934799873461604E7,1927.0,163330.4945826535,noncommercial
6.551566381195733E7,2003.0,162642.01713550856,noncommercial
5.5611492604515865E7,2226.0,168122.2706388661,noncommercial
5.312435670299656E7,2447.0,126583.47850426917,noncommercial
6.5048497064344816E7,1559.0,171227.0322273718,noncommercial
3.02451544901437E8,2978.0,455013.9674970151,noncommercial
5.4350553809138596E7,1917.0,173927.48713381344,noncommercial
4295.297873614654,2030.0,2410.0088053481654,noncommercial
1.1536459562416768E8,2105.0,278021.49103462824,noncommercial
1.889741457941219E8,1286.0,228528.33031676625,noncommercial
2.8957003412789065E8,2732.0,329119.13285780424,noncommercial
8.893593760136731E7,2600.0,184058.0147623138,noncommercial
2.8334457610241044E8,2365.0,417738.71778451395,noncommercial
2.1415357784429395E8,2073.0,244826.8011756936,noncommercial
4.941393665405094E7,1002.0,154443.98079399552,noncommercial
4.8367506627567954E7,1123.0,129005.4429021797,noncommercial
6.121998843681133E7,2110.0,139434.94289051348,noncommercial
5.634664117268067E7,1762.0,159823.97164776464,noncommercial
642123.3871806117,1883.0,21141.50760896587,noncommercial
408969.62487592665,1802.0,22540.908643884814,noncommercial
38606.76914540827,2362.0,6069.32843771122,noncommercial
49985.88586524499,1172.0,8943.074458573812,noncommercial
1863905.9810681497,1790.0,48246.699270814934,noncommercial
3.744698525757078E7,2298.0,159479.6259917095,noncommercial
3.6862414065731876E7,2398.0,147975.4777357294,noncommercial
9.38859714969978E7,2553.0,228512.18836205313,noncommercial
2.6647237762568137E8,2742.0,312679.1374148933,noncommercial
2.3238554056322974E8,2544.0,299713.76973118476,noncommercial
3.8082174941137516E8,2692.0,386658.30229188595,noncommercial
2.894375800409191E8,2423.0,300982.3368473958,noncommercial
1.6927861045834818E8,2570.0,286818.4280474781,noncommercial
1.879665890703657E8,2508.0,277897.90622127877,noncommercial
8.763842403412868E7,2423.0,227344.6646163425,noncommercial
9.51024746501304E7,2548.0,225461.33820532696,noncommercial
2.3693851615828514E8,2523.0,403495.33572785027,noncommercial
3.0773377070227146E7,2052.0,148905.29343704294,noncommercial
2.410600856693197E8,2793.0,298067.1643870045,noncommercial
6.946875653644606E8,3386.0,374740.3532528924,noncommercial
